userName,content,score,thumbsUpCount,reviewCreatedVersion,at
Pengguna Google,Mantap,5,0,1.24.1,2024-07-07 16:58:06
Pengguna Google,Bagus dan mudah digunakan,5,0,1.24.1,2024-07-07 16:57:08
Pengguna Google,Good,5,0,1.24.1,2024-07-07 16:52:38
Pengguna Google,Sangat membantu orang menengah mantap semoga sukses terus gopay,5,0,1.24.1,2024-07-07 16:52:36
Pengguna Google,Ga ribet .. Sukaaaa,5,0,1.24.1,2024-07-07 16:52:09
Pengguna Google,Sangat membantu,4,0,1.23.0,2024-07-07 16:51:37
Pengguna Google,Mantap pakay gopay,5,0,1.24.1,2024-07-07 16:50:20
Pengguna Google,mantap mantap mantap,5,0,1.24.1,2024-07-07 16:42:10
Pengguna Google,Layanan sang Mudah Dan Sangat Memuaskan,5,0,1.24.1,2024-07-07 16:32:16
Pengguna Google,Berbisnis,5,0,1.24.1,2024-07-07 16:31:56
Pengguna Google,Mohon di buka kembali goppy saya🙏🙏,5,0,,2024-07-07 16:26:20
Pengguna Google,Cepat,5,0,1.24.1,2024-07-07 16:26:14
Pengguna Google,"keren, dan sangat terbantu",5,0,1.24.1,2024-07-07 16:21:14
Pengguna Google,Sangat mudah,5,0,1.24.1,2024-07-07 16:09:54
Pengguna Google,Sip dah,5,0,1.24.1,2024-07-07 16:09:26
Pengguna Google,Gopay yang sangat mantap respon cepat,5,0,1.24.1,2024-07-07 16:08:29
Pengguna Google,Memudahkan driver..mantap,5,0,,2024-07-07 16:06:11
Pengguna Google,Keren,5,1,1.26.1,2024-07-07 16:06:00
Pengguna Google,Mudah dan sangat ringkas,5,0,1.24.1,2024-07-07 16:02:08
Pengguna Google,Bagus aplikasinya saya suka,5,0,1.26.1,2024-07-07 15:59:41
Pengguna Google,Baik dan bersahabat,5,0,1.24.1,2024-07-07 15:56:54
Pengguna Google,Sangat baik,5,0,1.24.1,2024-07-07 15:56:36
Pengguna Google,"aplikasi babi,mau isi pulsa Telkomsel ja gangguan asuu",1,0,1.24.1,2024-07-07 15:49:43
